ts,session_id,type,detail_json
2025-10-23T15:38:44.178Z,20251023-153826-175a03,powerup_spawn,"{""kind"": ""slowmo"", ""x"": 117}"
2025-10-23T15:38:47.980Z,20251023-153826-175a03,powerup_pickup,"{""kind"": ""slowmo""}"
2025-10-23T15:38:52.113Z,20251023-153826-175a03,powerup_spawn,"{""kind"": ""slowmo"", ""x"": 900}"
2025-10-23T15:39:01.121Z,20251023-153826-175a03,powerup_spawn,"{""kind"": ""slowmo"", ""x"": 830}"
2025-10-23T15:39:04.613Z,20251023-153826-175a03,powerup_pickup,"{""kind"": ""slowmo""}"
2025-10-23T15:39:07.227Z,20251023-153826-175a03,hit,"{""lives_after"": 2, ""difficulty"": 2.28}"
2025-10-23T15:39:11.187Z,20251023-153826-175a03,powerup_spawn,"{""kind"": ""shield"", ""x"": 786}"
2025-10-23T15:39:12.403Z,20251023-153826-175a03,hit,"{""lives_after"": 1, ""difficulty"": 1.69}"
2025-10-23T15:39:21.220Z,20251023-153826-175a03,powerup_spawn,"{""kind"": ""slowmo"", ""x"": 283}"
2025-10-23T15:39:25.442Z,20251023-153826-175a03,powerup_pickup,"{""kind"": ""slowmo""}"
2025-10-23T15:39:31.836Z,20251023-153826-175a03,powerup_spawn,"{""kind"": ""slowmo"", ""x"": 317}"
2025-10-23T15:39:38.764Z,20251023-153826-175a03,hit,"{""lives_after"": 0, ""difficulty"": 1.91}"
2025-10-23T15:39:52.383Z,20251023-153945-054fe7,powerup_spawn,"{""kind"": ""slowmo"", ""x"": 760}"
2025-10-23T15:39:59.532Z,20251023-153945-054fe7,powerup_spawn,"{""kind"": ""slowmo"", ""x"": 409}"
2025-10-23T15:40:00.274Z,20251023-153945-054fe7,hit,"{""lives_after"": 2, ""difficulty"": 1.35}"
2025-10-23T16:19:13.576Z,20251023-161904-d3912a,powerup_spawn,"{""kind"": ""slowmo"", ""x"": 151}"
2025-10-23T16:19:17.083Z,20251023-161904-d3912a,powerup_pickup,"{""kind"": ""slowmo""}"
2025-10-23T16:19:20.637Z,20251023-161904-d3912a,powerup_spawn,"{""kind"": ""shield"", ""x"": 331}"
2025-10-23T16:19:22.939Z,20251023-161904-d3912a,hit,"{""lives_after"": 2, ""difficulty"": 1.51}"
2025-10-23T16:19:24.375Z,20251023-161904-d3912a,powerup_pickup,"{""kind"": ""shield""}"
2025-10-23T16:19:28.974Z,20251023-161904-d3912a,powerup_spawn,"{""kind"": ""slowmo"", ""x"": 134}"
2025-10-23T16:30:20.540Z,20251023-163015-3402a8,hit,"{""lives_after"": 2, ""difficulty"": 1.03}"
2025-10-23T16:30:23.898Z,20251023-163015-3402a8,powerup_spawn,"{""kind"": ""slowmo"", ""x"": 342}"
